ticker,clusterId
FITB,44
DISCB,13
MLM,26
EFX,41
CBRE,40
TLK,13
COO,47
TCOM,20
CAG,7
IP,40
EPAM,26
CCC,29
BIO,2
TEF,5
CQP,24
CDW,46
EQR,45
VIAC,35
OXY,22
TTWO,43
HOLX,34
FTNT,21
MPLX,24
ZS,7
IQ,35
CMS,20
RYAAY,25
CAJ,29
FTS,24
VIACA,13
COUP,17
FLT,26
MXIM,7
EXAS,17
GWW,48
GDRX,20
CNQ,38
CHU,49
NOK,6
INCY,8
ROL,21
PCG,22
DB,22
KKR,21
AEM,46
VMC,15
MPC,22
SPG,35
FMX,38
BBVA,5
AMP,32
NWG,5
LH,41
DAL,14
AVB,15
ABC,34
KEYS,35
IBKR,29
AJG,31
NDAQ,37
GRMN,37
DFS,45
EOG,33
O,40
AEE,8
WST,0
Z,17
YNDX,45
ETR,31
ZG,46
BNTX,12
WY,44
PSX,20
ARE,31
MKTX,2
RCI,29
WPM,40
FTV,44
STT,44
SLB,14
TSN,34
PANW,27
PPL,33
EIX,1
PAYC,26
CERN,35
DLTR,23
FRC,21
VRSN,0
CHD,8
LEN,45
TU,13
GMAB,18
XP,13
RPRX,18
YUMC,21
ODFL,41
WELL,45
AME,46
LYB,1
CS,3
RNG,17
NTR,13
FMS,13
WMB,36
SLF,24
LUV,14
WLTW,32
SWKS,34
W,17
DTE,31
AFL,44
MCK,43
MTD,30
BCS,49
MKC,32
DHI,34
SIRI,22
HLT,8
GLW,44
HPQ,36
CTVA,20
E,3
ZTO,20
FAST,21
LYG,5
MRVL,36
FCX,14
ROKU,43
ALXN,8
LBRDA,18
PRU,20
CHA,29
CHWY,45
LBRDK,18
ADM,44
EDU,7
TDG,2
FNV,32
CPRT,7
APTV,21
WCN,46
ANSS,26
CLX,17
AZO,10
VFC,23
ED,40
HRL,35
MFC,3
TTD,2
MCHP,17
OTIS,1
ING,3
MRNA,45
SWK,41
PH,27
MSI,32
BGNE,26
OKTA,17
KMI,14
AIG,33
CRWD,45
AWK,15
ZBH,15
ROK,47
DDOG,45
WIT,5
STM,29
CRH,13
ALL,8
ALC,40
RMD,7
RSG,46
SYY,39
HSY,15
TROW,32
BBY,23
VRSK,15
CARR,33
SGEN,41
BLL,40
XLNX,23
MSCI,48
CHT,13
PEG,1
WBA,39
IQV,41
PCAR,1
PAYX,7
ORAN,3
ES,8
MAR,8
ROST,23
BK,19
CDNS,31
COP,36
KLAC,7
DXCM,26
PPG,37
F,11
BBD,6
JCI,34
MFG,5
A,34
CVNA,17
WEC,8
SPLK,17
TT,31
PUK,38
TEL,39
STZ,32
PTON,39
INFO,1
INFO,1
ORLY,9
CSGP,30
SNPS,47
SBAC,47
CMI,41
TWTR,4
CTAS,27
CM,24
EBAY,45
SAN,6
COF,1
ALGN,9
CMG,30
ABEV,6
DOW,44
APH,31
CNC,44
MET,33
EA,25
LHX,41
BX,20
PINS,4
IDXX,9
GIS,7
EPD,22
VOD,25
SRE,18
BCE,13
IBN,25
RKT,36
XEL,1
TRP,18
ERIC,49
NIO,11
KHC,36
DOCU,43
NXPI,31
KDP,24
SMFG,3
RELX,3
BMO,24
TRI,18
EMR,34
CTSH,44
BIIB,0
AMOV,49
AMOV,49
EXC,33
ROP,9
BAX,20
AMX,49
TAL,23
ITUB,6
PSA,26
DLR,21
CP,48
MNST,8
SCCO,24
VEEV,43
HMC,25
CEO,46
BSBR,49
TWLO,26
ETN,46
LULU,26
EQNR,3
DD,20
NGG,25
HCA,37
UBS,49
PHG,29
AON,35
ILMN,48
PBR,36
ADI,35
AEP,37
EW,1
SPOT,0
DELL,23
KMB,21
BIDU,15
WM,46
WBK,18
BAM,24
GPN,15
PNC,37
GOLD,36
GOLD,36
SNP,29
TEAM,7
TAK,25
NOC,48
BSX,14
LRCX,27
MCO,0
WDAY,43
BNS,24
NEM,33
MUFG,5
ABB,29
ADSK,43
DG,43
PTR,29
BP,14
ECL,41
MMC,31
HUM,9
ICE,46
NSC,0
PGR,37
CME,41
VMW,32
AMAT,34
VALE,4
VRTX,0
ENB,38
MU,39
TFC,19
REGN,2
ATVI,33
UBER,22
CB,31
USB,19
NTES,40
MELI,30
CSX,19
INFY,22
TJX,23
APD,47
CI,15
LFC,3
ITW,32
SHW,2
FISV,19
EQIX,2
GE,11
GS,16
BKNG,10
BDX,47
MO,42
CCI,16
D,40
CL,19
DUK,35
ADP,27
FDX,27
ANTM,0
CNI,37
RIO,40
DE,47
BTI,38
PLD,37
CVS,33
AXP,19
ZTS,15
MDLZ,33
SYK,43
DEO,25
TGT,32
SE,35
SCHW,42
FIS,16
SPGI,48
ISRG,2
EL,27
TOT,38
TD,18
BA,14
INTU,27
RTX,12
GSK,42
CAT,16
HSBC,49
C,14
WFC,4
AMD,4
BLK,2
MMM,16
NOW,9
LMT,48
BBL,25
IBM,21
RY,12
SBUX,39
AMT,47
BUD,38
SNE,23
HDB,23
PDD,12
PM,19
SHOP,30
SNY,3
HON,16
LIN,12
UNP,16
LOW,43
BHP,12
CHTR,2
LLY,16
CHL,49
JD,22
AMGN,0
SAP,37
ZM,9
AZN,38
BMY,36
TXN,16
CVX,42
MDT,25
UPS,16
ACN,27
TMUS,12
XOM,4
QCOM,34
AVGO,47
NEE,42
UN,38
NVO,18
UL,38
ABBV,42
ASML,48
CSCO,39
COST,27
MCD,47
DHR,0
ORCL,39
NVS,19
INTC,4
TM,12
PEP,28
ABT,19
TMO,9
NKE,39
MRK,42
T,4
CMCSA,22
PFE,14
BAC,4
KO,42
CRM,28
ADBE,9
PYPL,28
DIS,12
VZ,42
HD,28
MA,48
UNH,48
JPM,42
NVDA,9
PG,39
JNJ,28
TSLA,4
V,28
WMT,28
TSM,28
FB,28
BABA,28
GOOGL,10
GOOG,10
AMZN,10
MSFT,11
AAPL,11
